age_days,variable,q05,q50,q95
7.0,phase_mass__C4AH13,0.0,0.0,0.0
7.0,phase_mass__C4AH19,0.0,0.0,0.0
7.0,phase_mass__C4Ac0.5H105,0.0,0.0,0.0
7.0,phase_mass__C4Ac0.5H12,0.0,0.0,0.0
7.0,phase_mass__C4Ac0.5H9,0.0,0.0,0.0
7.0,phase_mass__C4AcH11,0.0,0.0,0.0
7.0,phase_mass__C4AcH9,0.0,0.0,0.0
7.0,phase_mass__C4AsH105,0.0,0.0,0.0
7.0,phase_mass__C4AsH12,0.0,0.0,0.0
7.0,phase_mass__C4AsH14,0.0,0.0,0.0
7.0,phase_mass__C4AsH16,0.0,0.0,0.0
7.0,phase_mass__C4AsH9,0.0,0.0,0.0
7.0,phase_mass__C6AsH13,0.0,0.0,0.0
7.0,phase_mass__C6AsH9,0.0,0.0,0.0
7.0,phase_mass__CAH10,0.0,0.0,0.0
7.0,phase_mass__CO3_SO4_AFt,0.0,0.0,0.0
7.0,phase_mass__CSHQ,0.0254778161384709,0.0282726623658619,0.0272604368826593
7.0,phase_mass__Calcite,0.0,0.0,0.0
7.0,phase_mass__Friedels,0.0,0.0,0.0
7.0,phase_mass__Gypsum,0.0,0.0,0.0
7.0,phase_mass__Kuzels,0.0,0.0,0.0
7.0,phase_mass__MSH,0.0,0.0,0.0
7.0,phase_mass__MgAl-OH-LDH,0.0,0.0014545485728448,0.0016163387619828
7.0,phase_mass__Na-oxide,0.0,0.0,0.0
7.0,phase_mass__OH_SO4_AFm,0.0050481685125487,0.0025383871613856,0.0
7.0,phase_mass__Portlandite,0.00328784200287,0.0,0.0
7.0,phase_mass__SO4_CO3_AFt,0.0,0.0,0.0
7.0,phase_mass__SO4_OH_AFm,0.0050481685125487,0.0025383871613856,0.0
7.0,phase_mass__Silica-amorph,0.0,0.0,0.0
7.0,phase_mass__Sulphur,0.0,0.0,0.0
7.0,phase_mass__aq_gen,0.0364104392408639,0.0334903574697956,0.0310973232124403
7.0,phase_mass__arcanite,0.0,0.0,0.0
7.0,phase_mass__ettringite,0.005185543725818,0.0080895626178707,0.0107432711524699
7.0,phase_mass__gas_gen,0.0,0.0,0.0
7.0,phase_mass__hemihydrate,0.0,0.0,0.0
7.0,phase_mass__straetlingite,0.0,0.0087337985756086,0.0181455007994805
7.0,phase_mass__thenardite,0.0,0.0,0.0
7.0,phase_volume__Al(OH)3am,0.0,0.0,0.0
7.0,phase_volume__Anhydrite,0.0,0.0,0.0
7.0,phase_volume__Aragonite,0.0,0.0,0.0
7.0,phase_volume__Brucite,0.0,0.0,0.0
7.0,phase_volume__C2AH75,0.0,0.0,0.0
7.0,phase_volume__C2ASH55,0.0,0.0,0.0
7.0,phase_volume__C3(AF)S0.84H,1.110300462440187e-06,1.54369058573762e-06,1.877324901959457e-06
7.0,phase_volume__C3AH6,0.0,0.0,0.0
7.0,phase_volume__C4AH11,0.0,0.0,0.0
7.0,phase_volume__C4AH13,0.0,0.0,0.0
7.0,phase_volume__C4AH19,0.0,0.0,0.0
7.0,phase_volume__C4Ac0.5H105,0.0,0.0,0.0
7.0,phase_volume__C4Ac0.5H12,0.0,0.0,0.0
7.0,phase_volume__C4Ac0.5H9,0.0,0.0,0.0
7.0,phase_volume__C4AcH11,0.0,0.0,0.0
7.0,phase_volume__C4AcH9,0.0,0.0,0.0
7.0,phase_volume__C4AsH105,0.0,0.0,0.0
7.0,phase_volume__C4AsH12,0.0,0.0,0.0
7.0,phase_volume__C4AsH14,0.0,0.0,0.0
7.0,phase_volume__C4AsH16,0.0,0.0,0.0
7.0,phase_volume__C4AsH9,0.0,0.0,0.0
7.0,phase_volume__C6AsH13,0.0,0.0,0.0
7.0,phase_volume__C6AsH9,0.0,0.0,0.0
7.0,phase_volume__CAH10,0.0,0.0,0.0
7.0,phase_volume__CO3_SO4_AFt,0.0,0.0,0.0
7.0,phase_volume__CSHQ,1.1299143797495998e-05,1.2267341719777308e-05,1.1441388881309403e-05
7.0,phase_volume__Calcite,0.0,0.0,0.0
7.0,phase_volume__Friedels,0.0,0.0,0.0
7.0,phase_volume__Gypsum,0.0,0.0,0.0
7.0,phase_volume__Kuzels,0.0,0.0,0.0
7.0,phase_volume__MSH,0.0,0.0,0.0
7.0,phase_volume__MgAl-OH-LDH,0.0,7.47344425075647e-07,8.041146045689355e-07
7.0,phase_volume__Na-oxide,0.0,0.0,0.0
7.0,phase_volume__OH_SO4_AFm,2.510235078974055e-06,1.2630028611182252e-06,0.0
7.0,phase_volume__Portlandite,0.0,0.0,0.0
7.0,phase_volume__SO4_CO3_AFt,0.0,0.0,0.0
7.0,phase_volume__SO4_OH_AFm,2.510235078974055e-06,1.2630028611182252e-06,0.0
7.0,phase_volume__Silica-amorph,0.0,0.0,0.0
7.0,phase_volume__Sulphur,0.0,0.0,0.0
7.0,phase_volume__aq_gen,3.59293036107104e-05,3.307096902907444e-05,3.075848234336463e-05
7.0,phase_volume__arcanite,0.0,0.0,0.0
7.0,phase_volume__ettringite,2.9376838877626383e-06,4.582830081524974e-06,6.086008937647913e-06
7.0,phase_volume__gas_gen,0.0,0.0,0.0
7.0,phase_volume__hemihydrate,0.0,0.0,0.0
7.0,phase_volume__straetlingite,0.0,4.541305967219388e-06,9.434937187084162e-06
7.0,phase_volume__thenardite,0.0,0.0,0.0
7.0,scalar__Eh,0.398813607343051,0.400718913908057,0.4207275444631448
7.0,scalar__IS,0.2846274716817876,0.2700745320011316,0.2326688856752553
7.0,scalar__P,100000.0,100000.0,100000.0
7.0,scalar__T,293.15,293.15,293.15
7.0,scalar__aq_volume_frac,0.6184148055805491,0.5578821681273423,0.5092273690489202
7.0,scalar__converged,True,True,True
7.0,scalar__elapsed_time,0.009068,0.0072585,0.0047805
7.0,scalar__ionic_strength,0.2846274716817876,0.2700745320011316,0.2326688856752553
7.0,scalar__nelements,13,13,13
7.0,scalar__nphases,46,46,46
7.0,scalar__nspecies,140,140,140
